identifier,date,set,download
oai:ojs.crae.mcgill.ca:article/1471,2025-06-02T13:32:15Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1471/2029
oai:ojs.crae.mcgill.ca:article/1477,2025-05-08T14:58:30Z,seis:cascadia,https://seismica.library.mcgill.ca/article/download/1477/1951
oai:ojs.crae.mcgill.ca:article/1483,2025-04-11T15:09:32Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1483/1909
oai:ojs.crae.mcgill.ca:article/1488,2025-03-11T13:58:09Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1488/1853
oai:ojs.crae.mcgill.ca:article/1490,2025-05-12T09:19:46Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1490/1935
oai:ojs.crae.mcgill.ca:article/1499,2025-02-25T15:27:05Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1499/1829
oai:ojs.crae.mcgill.ca:article/1505,2025-04-25T15:59:07Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1505/1924
oai:ojs.crae.mcgill.ca:article/1509,2025-05-19T13:36:11Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1509/2017
oai:ojs.crae.mcgill.ca:article/1512,2025-02-04T17:01:47Z,seis:FR,https://seismica.library.mcgill.ca/article/download/1512/1789
oai:ojs.crae.mcgill.ca:article/1537,2025-04-01T19:06:27Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1537/1896
oai:ojs.crae.mcgill.ca:article/1561,2025-05-05T15:33:42Z,seis:Editorials,https://seismica.library.mcgill.ca/article/download/1561/1936
oai:ojs.crae.mcgill.ca:article/1663,2025-05-29T20:27:54Z,seis:FR,https://seismica.library.mcgill.ca/article/download/1663/2026
oai:ojs.crae.mcgill.ca:article/1691,2025-06-17T07:23:36Z,seis:FR,https://seismica.library.mcgill.ca/article/download/1691/2019
