identifier,download,doi,title
10.1785/0320230044,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/1/43/6229614/tsr-2023044.1.pdf,https://doi.org/10.1785/0320230044,Toward the Rapid Seismic Assessment of Landslides in Coastal Alaska
10.1785/0320230049,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/1/52/6261476/tsr-2023049.1.pdf,https://doi.org/10.1785/0320230049,Revealing the Secrets of the Western Mediterranean: A Deep Earthquake and the Overturned Slab
10.1785/0320230043,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/1/62/6261670/tsr-2023043.1.pdf,https://doi.org/10.1785/0320230043,"Deformed Latest Pleistocene Fluvial Terraces Reveal Complex Active Faulting within Tectonic Transition Zone, Mendocino Triple Junction, Northern California"
10.1785/0320230054,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/1/72/6284745/tsr-2023054.1.pdf,https://doi.org/10.1785/0320230054,Making Phase‐Picking Neural Networks More Consistent and Interpretable
10.1785/0320230053,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/1/81/6309827/tsr-2023053.1.pdf,https://doi.org/10.1785/0320230053,"Distinct Yet Adjacent Earthquake Sequences near the Mendocino Triple Junction: 20 December 2021 Mw 6.1 and 6.0 Petrolia, and 20 December 2022 Mw 6.4 Ferndale"
10.1785/0320230052,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/2/93/6435836/tsr-2023052.1.pdf,https://doi.org/10.1785/0320230052,The Main Factors Controlling Probabilistic Seismic Hazard Variability Due to Epistemic Uncertainty in Greece: Results from a One‐Factor‐at‐a‐Time Analysis
10.1785/0320230055,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/2/102/6385695/tsr-2023055.1.pdf,https://doi.org/10.1785/0320230055,Comparison of Near‐Surface Attenuation from Surface Array‐Based Seismic Noise Data and Borehole Weak‐Motion Recordings at the STIN Test Site in Northeastern Italy
10.1785/0320240003,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/2/111/6434401/tsr-2024003.1.pdf,https://doi.org/10.1785/0320240003,Evidence for Ultra‐Low Velocity Zone Genesis in Downwelling Subducted Slabs at the Core–Mantle Boundary
10.1785/0320240004,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/2/121/6437122/tsr-2024004.1.pdf,https://doi.org/10.1785/0320240004,Uncertainty in Ground‐Motion‐to‐Intensity Conversions Significantly Affects Earthquake Early Warning Alert Regions
10.1785/0320230038,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/2/131/6446703/tsr-2023038.1.pdf,https://doi.org/10.1785/0320230038,"Determining Stress Orientation in Rock Valley, Nevada, Using Ambient Seismic Noise"
10.1785/0320240011,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/2/140/6500663/tsr-2024011.1.pdf,https://doi.org/10.1785/0320240011,Insights into Temporal Evolution of Induced Earthquakes in the Southern Delaware Basin Using Calibrated Relocations from the TXAR Catalog (2009–2016)
10.1785/0320240012,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/3/151/6532181/tsr-2024012.1.pdf,https://doi.org/10.1785/0320240012,"The 17 January 1994 Northridge, California, Earthquake: A Retrospective Analysis"
10.1785/0320240019,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/3/161/6575392/tsr-2024019.1.pdf,https://doi.org/10.1785/0320240019,Seismic Node Arrays for Enhanced Understanding and Monitoring of Geothermal Systems
10.1785/0320240013,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/3/172/6714097/tsr-2024013.1.pdf,https://doi.org/10.1785/0320240013,"The 16 September 2023 Greenland Megatsunami: Analysis and Modeling of the Source and a Week‐Long, Monochromatic Seismic Signal"
10.1785/0320230050,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/3/184/6714090/tsr-2023050.1.pdf,https://doi.org/10.1785/0320230050,"Shallow Faulting and Folding beneath South‐Central Seattle, Washington State, from Land‐Based High‐Resolution Seismic‐Reflection Imaging"
10.1785/0320240010,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/4/3/194/6749589/tsr-2024010.1.pdf,https://doi.org/10.1785/0320240010,Uncertainty and Spatial Correlation in Station Measurements for mb Magnitude Estimation
